"","Type","Sediment_Type","count"
"1","Mussel Shell","silt over sandy silt",6
"2","Mussel Shell","silty sand",11
"3","Mussel Shell","soft silt",6
"4","Mussel Tissue","silt over sandy silt",6
"5","Mussel Tissue","silty sand",11
"6","Mussel Tissue","soft silt",6
"7","Sediment","black mud",27
"8","Sediment","clay",14
"9","Sediment","clay and sand",3
"10","Sediment","sand",14
"11","Sediment","sandy silt",9
"12","Sediment","silt",3
"13","Sediment","silt over sandy silt",6
"14","Sediment","silty sand",30
"15","Sediment","soft silt",9
"16","Sediment","Unlabeled",24
"17","Whole Mussel","black mud",6
"18","Whole Mussel","clay",6
"19","Whole Mussel","clay and sand",2
"20","Whole Mussel","sandy silt",6
"21","Whole Mussel","silt",2
"22","Whole Mussel","silt over sandy silt",4
"23","Whole Mussel","silty sand",20
"24","Whole Mussel","soft silt",6
